UTCG,r_x,r_y,r_z,v_x,v_y,v_z,a_x,a_y,a_z,lla_Lat,lla_Lon,lla_Alt,coe_Semi-major_Axis,coe_Eccentricity,coe_Inclination,coe_RAAN,coe_Arg_of_Perigee,coe_True_Anomaly
15 Jul 2026 13:46:00.000000000,6076.295800929126,1765.365624078402,2706.34752587923,-3.5653535898535127,4.150908239682162,5.290230454781408,-0.007430772363414857,-0.0021620464013501917,-0.0033231241283044172,23.429872522896765,-123.37000499461449,507.24193593597994,6883.11610397649,0.00039736395335724815,53.00886782332892,357.4044453470836,95.89706718742922,293.59767349534445
15 Jul 2026 13:47:00.000000000,5849.157948831242,2010.3515679560921,3017.5543131306245,-4.003116414266984,4.012309323910157,5.079527126650654,-0.007151317172366906,-0.002461183689445153,-0.0037040528069054216,26.289421454245833,-120.84744352441477,507.8767699480961,6882.3905917592065,0.0004079212147252683,53.00658810556127,357.40269952640773,112.1231395500548,281.1745680826032
15 Jul 2026 13:48:00.000000000,5596.275949153459,2246.4893693287395,3315.4426730332543,-4.423178142727312,3.8560792501549934,4.846447346545698,-0.006840437435619195,-0.0027493546632807093,-0.004068458439000583,29.091515762977316,-118.18732603522074,508.5430936530128,6881.623033488294,0.0004308908470670708,53.004175104131264,357.4005644530899,127.74828255696877,269.35262186519367
15 Jul 2026 13:49:00.000000000,5318.767621485627,2472.7416429661703,3598.7006990823133,-4.823694503635922,3.682913378715576,4.592029849763932,-0.0064995521564717666,-0.0030253018712621633,-0.004414750193365792,31.82578304754455,-115.36772596687855,509.22831436863953,6880.826951172129,0.00046487261495050633,53.00167113656133,357.39802144680954,142.20603128647335,258.6983166672223
15 Jul 2026 13:50:00.000000000,5017.858812564301,2688.1149543995243,3866.081622065266,-5.202910174605263,3.4935807761741455,4.317406264352018,-0.006130208002747017,-0.003287827709492854,-0.004741424952981433,34.480362329767544,-112.3649752773981,509.9194180321284,6880.01636231226,0.0005072168515308014,52.99912012517172,357.39505900278175,155.25225699236415,249.45579476412928
15 Jul 2026 13:51:00.000000000,4694.877834448615,2891.6641317836975,4116.409222733961,-5.559166185567284,3.2889204838598154,4.023795675558263,-0.005734070546016208,-0.0035357991024686525,-0.005047073048153577,37.04164477084993,-109.15384040031294,510.60320410076866,6879.205532816267,0.0005548128994028625,52.99656682501649,357.39167299524524,166.9108511566554,241.60117470519742
15 Jul 2026 13:52:00.000000000,4351.249474354853,3082.4963457469385,4348.5829083875615,-5.890906787474228,3.0698375207285897,3.712498867218202,-0.005312915223468682,-0.0037681516678292723,-0.005330383283371806,39.49400982752123,-105.70798101012568,511.26652286924946,6878.408726093285,0.0006046204466776129,52.994056036981306,357.3878667514018,177.34605086068603,234.97022587429691
15 Jul 2026 13:53:00.000000000,3988.4886086668357,3259.774942209275,4561.582435203391,-6.196685773282151,2.8372986512678087,3.3848922817895315,-0.004868618133576227,-0.003983893378947827,-0.005590147282624476,41.81958354878938,-102.00082769419586,511.8965109783413,6877.63995274487,0.0006539001810231078,52.991631819842944,357.3836509944167,186.76219905425015,229.35860820999312
15 Jul 2026 13:54:00.000000000,3608.1934542530757,3422.7230149616494,4754.472260611716,-6.4751722441968536,2.592327947916242,3.042421738915945,-0.004403146763396552,-0.004182107748555593,-0.005825263189591387,43.998064086718216,-98.00704315467775,512.4808210158471,6876.912725211512,0.0007002660695562238,52.98933671511536,357.3790436564387,195.35217230663378,224.5734445008998
15 Jul 2026 13:55:00.000000000,3212.0384904823295,3570.62670651501,4926.405512341578,-6.725155819663253,2.336002175808493,2.6865959498386225,-0.003918550732366381,-0.004361956566308497,-0.006034738771374422,46.00668345384309,-93.70473519822795,513.0078413032032,6876.239821608439,0.0007416674859662676,52.98721099829481,357.37406956483676,203.27918363978688,220.45151765483675
15 Jul 2026 13:56:00.000000000,2801.7670852784013,3702.8382273381044,5076.627562926538,-6.945551294152785,2.0694460254950666,2.3189798618438893,-0.0034169526195377956,-0.0045226822287683655,-0.006217693980976042,47.82040098772332,-89.07853463141517,513.4669022112931,6875.633062789004,0.0007763564809088342,52.98529196966569,357.3687600071171,210.67481708833586,216.8612362949181
15 Jul 2026 13:57:00.000000000,2379.1838582631485,3818.7785850658993,5204.479200420108,-7.135402747330662,1.79382721680179,1.9411878634084938,-0.002900538924475765,-0.004663609706076502,-0.00637336304040714,49.41244406778249,-84.12349115497679,513.8484656466325,6875.103106415763,0.0008028602108169975,52.98361329714302,357.3631521820701,217.6431093460809,213.69855331983618
15 Jul 2026 13:58:00.000000000,1946.1468135545142,3917.9400165739735,5309.3993878128285,-7.293887116612931,1.5103514942875103,1.5548768769620482,-0.002371551192646211,-0.00478414819139607,-0.006501096107715993,50.755308603610594,-78.84943588267099,514.1442946847402,6874.659261503687,0.0008199626015800201,52.982204422730035,357.3572885467413,224.26600525946762,210.88151066391518
15 Jul 2026 13:59:00.000000000,1504.55927419798,3999.888116957562,5390.927605154989,-7.420317242425106,1.2202575320032372,1.1617393624232846,-0.0018322773169432433,-0.0048837924779487046,-0.006600360588464775,51.822282494110986,-73.28502326690784,514.3476006929928,6874.309326536265,0.000826693800208509,52.98109004306061,357.35121607059864,230.60843318554092,208.3451642346887
15 Jul 2026 14:00:00.000000000,1056.3616495636834,4064.263660439835,5448.705769676173,-7.514144396692424,0.9248117625575333,0.7634962510666705,-0.0012850430107503984,-0.004962124107466222,-0.006670742149848942,52.58944058332549,-67.48022898905066,514.4531656723832,6874.059453847109,0.000822324736108702,52.980289673207835,357.34498540999397,236.72253636434488,206.0373528725906
15 Jul 2026 14:01:00.000000000,603.5230664239754,4110.784109057064,5482.479730269346,-7.574960304293071,0.6253031430265166,0.3618898260159687,-0.0007322034316706079,-0.005018812330312854,-0.006711945489969227,53.037886356189496,-61.50592168243413,514.4574379511322,6873.914042516646,0.000806364325612193,52.97981730148575,357.3386500173433,242.6511006452016,203.91527098725595
15 Jul 2026 14:02:00.000000000,148.03289386799884,4139.244805658722,5492.100333597777,-7.602498665522773,0.3230378680912786,-0.04132343710622385,-0.00017613491999101386,-0.0050536149064177565,-0.006723794899046397,53.15583835275681,-55.449564552518424,514.3585997769195,6873.875661560602,0.0007785574116858227,52.97968114138103,357.3322652006743,248.43040143025362,201.9426220005123
15 Jul 2026 14:03:00.000000000,-308.1078082035253,4149.519848329787,5477.5240598209175,-7.59663618519895,0.019334039091488703,-0.44438005796823493,0.0003807731923565417,-0.005066378774785291,-0.006706234646925715,52.94007546133494,-49.40722425190133,514.1566057764638,6873.945004691751,0.00073888207934263,52.97988348504923,357.32588715003004,254.09278191687991,200.08704050745754
15 Jul 2026 14:04:00.000000000,-762.8948875312749,4141.562643828064,5438.813226564968,-7.557393111076378,-0.28448370350805824,-0.845516757754532,0.0009361267558271407,-0.005057040603240368,-0.006659329209204234,52.39635072225653,-43.473467077590456,513.8531916770246,6874.120877423561,0.0006875454485223824,52.980420661029285,357.31957194788106,259.66940520541954,198.31734058198688
15 Jul 2026 14:05:00.000000000,-1214.3297154865618,4115.406138058404,5376.1357603299075,-7.484933280958812,-0.5870895773212326,-1.242977674408197,0.001487535016215854,-0.005025627225793607,-0.006583263338342511,51.53865454548596,-37.73163290570208,513.4518531141025,6874.400216762472,0.0006249774447814038,52.98128309699717,357.31337458092116,265.1939548494384,196.59981564216193
15 Jul 2026 14:06:00.000000000,-1660.4277910547562,4071.1627220183773,5289.764535080172,-7.379563674506518,-0.887162077977753,-1.6350215772201324,0.00203261892256679,-0.004972255959450828,-0.006478341965361047,50.38753749964892,-32.2468094544767,512.9577947803457,6874.778143207518,0.0005518224783112764,52.982455486531826,357.30734797069823,270.70898083395855,194.89189288261412
15 Jul 2026 14:07:00.000000000,-2099.2273029276776,4009.02381208278,5180.076278361542,-7.24173346248983,-1.1833894141877512,-2.0199290700099017,0.002569019581414414,-0.0048971347851923955,-0.006344989908439224,48.96793100131847,-27.062695290676576,512.3778506021824,6875.248044250903,0.0004689296909753853,52.98391705703179,357.3015420401419,276.2793908577166,193.12864239066548
15 Jul 2026 14:08:00.000000000,-2528.7976192932156,3929.259103983868,5047.550045973972,-7.072032543353287,-1.4744749490667117,-2.3960097702632805,0.0030944069019642126,-0.0048005623683666215,-0.006183751352530015,47.30694317200085,-22.202147886540097,511.720376061299,6875.801688054761,0.00037734448117282435,52.985641934133795,357.2960028325065,282.0275267029205,191.18770115565985
15 Jul 2026 14:09:00.000000000,-2947.2476742251506,3832.215500426403,4892.765267052283,-6.871189554648484,-1.7591426370247352,-2.761609449010439,0.003606488463136013,-0.004682927880565559,-0.005995289047323325,45.431985573087054,-17.6702718499448,510.99511420533366,6876.4293654762105,0.0002783127111329921,52.987599596278415,357.29077169828656,288.2490856618056,188.77335199559414
15 Jul 2026 14:10:00.000000000,-3352.734218764202,3718.3157129833785,4716.39936240953,-6.6400693453626145,-2.0361424432145068,-3.1151171130397115,0.004103018622475351,-0.0045447105848838805,-0.005780383171412615,43.3694017729109,-13.458662326195329,510.2130373133251,6877.120058129611,0.00017336686645770308,52.98975541146775,357.2858845645185,295.9699234060238,184.85972100881753
15 Jul 2026 14:11:00.000000000,-3743.469903916445,3588.056539774468,4519.224940206142,-6.379669894569132,-2.3042557298427804,-3.4549720074168833,0.004581807865899249,-0.004386479133188971,-0.005539929794167252,41.143609134579904,-9.549692455334105,509.3861665922662,6877.861629721116,6.551030914745988e-05,52.99207124680125,357.2813712994117,313.13194618703477,171.50488565710123
15 Jul 2026 14:12:00.000000000,-4117.731161915262,3442.0068214556863,4302.106574450345,-6.091118662286784,-2.5623005906924194,-3.779670512359703,0.0050407323834735914,-0.004208890528030746,-0.005274938873027238,38.776670344305785,-5.920192388504102,508.52737267552664,6878.641037471411,5.604778965780132e-05,52.99450614007867,357.27725518360467,95.6922071417675,32.751778700939674
15 Jul 2026 14:13:00.000000000,-4473.865851279622,3280.805079257225,4065.997173520158,-5.775668360030106,-2.809137112114007,-4.087772904502859,0.005477743832965983,-0.004012688695012628,-0.004986531716550145,36.28817768655352,-2.5442722671667495,507.6501600655195,6879.444560067573,0.00016801180128706524,52.997017021651224,357.2735524974667,116.00437659581131,16.24671809073282
15 Jul 2026 14:14:00.000000000,-4810.300630522631,3105.156840200707,3811.933947820916,-5.434692131299434,-3.043672535669211,-4.3779099486709985,0.005890879236054835,-0.0037987026164512223,-0.0046759378512666195,33.69533889210355,0.6046978904606807,506.7684390027806,6880.258038260691,0.00028227128152036264,52.999559473800055,357.27027223180926,123.87455841504011,12.183590759745432
15 Jul 2026 14:15:00.000000000,-5125.548024881826,2915.8316562050036,3541.0339878502145,-5.069678136182896,-3.2648662946858176,-4.648789282642772,0.006278270932088096,-0.003567843979459629,-0.004344491234895212,31.013176628424617,3.5528137210056565,505.8962885427007,6881.067123960711,0.00039505081004545376,53.00208851424534,357.26741592719384,129.96044849156948,9.904694230608781
15 Jul 2026 14:16:00.000000000,-5418.213150242201,2713.6598255291738,3254.4894662991783,-4.682223539247551,-3.471734894373237,-4.899201554240683,0.006638156497436077,-0.0033211042983578125,-0.003993625768691659,28.254780000703683,6.324896008082664,505.04771486906145,6881.85753348146,0.0005044432319264692,53.004559389948305,357.26497764477756,135.447064125588,8.22500727248794
15 Jul 2026 14:17:00.000000000,-5687.00005854461,2499.5288268929366,2953.5624803500664,-4.274027905885869,-3.6633566029646674,-5.128026267580175,0.00696888852295608,-0.0030595514793699237,-0.0036248700734391793,25.431568910597754,8.944126312983663,504.2364090596657,6882.615300462387,0.0006087478496492389,53.00692836717391,357.26294406928207,140.65623274880355,6.822701162784738
15 Jul 2026 14:18:00.000000000,-5930.717669487859,2274.379478619331,2639.579552982969,-3.846886019090108,-3.838875919738541,-5.334237293620328,0.00726894413043789,-0.0027843258062542893,-0.003239841508695795,22.553548780519986,11.43193245938908,503.47550863412687,6883.327023947293,0.0007063706989139173,53.00915350383526,357.26129474232664,145.7128856342226,5.572845909270762
